Acanthis flammea
Accipiter nisus
Acridotheres tristis
Acrocephalus agricola
Acrocephalus arundinaceus
Acrocephalus dumetorum
Acrocephalus melanopogon
Acrocephalus paludicola
Acrocephalus palustris
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Actitis hypoleucos
Actitis macularius
Actophilornis africanus
Aegithalos caudatus
Aegolius funereus
Aegypius monachus
Agapornis fischeri
Agapornis personatus
Agapornis roseicollis
Aix galericulata
Aix sponsa
Alauda arvensis
Alca torda
Alcedo atthis
Alectoris chukar
Alectoris graeca
Alectoris rufa
Alopochen aegyptiaca
Amandava amandava
Amazona aestiva
Amazona oratrix
Amazonetta brasiliensis
Anarhynchus alexandrinus
Anarhynchus leschenaultii
Anarhynchus mongolus
Anas acuta
Anas castanea
Anas crecca
Anas flavirostris
Anas platyrhynchos
Anas poecilorhyncha
Anas superciliosa
Anas undulata
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser canagicus
Anser erythropus
Anser fabalis
Anser indicus
Anser rossii
Anser serrirostris
Anthus campestris
Anthus cervinus
Anthus godlewskii
Anthus gustavi
Anthus hodgsoni
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus rubescens
Anthus spinoletta
Anthus trivialis
Antigone canadensis
Apus affinis
Apus apus
Apus caffer
Apus pacificus
Apus pallidus
Aquila chrysaetos
Aquila heliaca
Aquila nipalensis
Ardea alba
Ardea cinerea
Ardea ibis
Ardea purpurea
Ardenna grisea
Ardeola ralloides
Arenaria interpres
Asio flammeus
Asio otus
Astur gentilis
Athene noctua
Aythya affinis
Aythya americana
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya marila
Aythya nyroca
Aythya valisineria
Balearica regulorum
Bombycilla garrulus
Botaurus stellaris
Branta bernicla
Branta canadensis
Branta hutchinsii
Branta leucopsis
Branta sandvicensis
Bubo bubo
Bubo scandiacus
Bucanetes githagineus
Bucephala albeola
Bucephala clangula
Bucephala islandica
Bulweria bulwerii
Burhinus oedicnemus
Buteo buteo
Buteo lagopus
Calandrella brachydactyla
Calcarius lapponicus
Calidris acuminata
Calidris alba
Calidris alpina
Calidris bairdii
Calidris canutus
Calidris falcinellus
Calidris ferruginea
Calidris fuscicollis
Calidris himantopus
Calidris maritima
Calidris melanotos
Calidris minuta
Calidris minutilla
Calidris pugnax
Calidris pusilla
Calidris ruficollis
Calidris subminuta
Calidris subruficollis
Calidris temminckii
Calidris tenuirostris
Calliope calliope
Callipepla californica
Caprimulgus europaeus
Caracara plancus
Cardinalis cardinalis
Carduelis carduelis
Carduelis citrinella
Carpodacus erythrinus
Catharus ustulatus
Cecropis daurica
Cepphus grylle
Cercotrichas galactotes
Certhia brachydactyla
Certhia familiaris
Cettia cetti
Charadrius hiaticula
Chenonetta jubata
Chlidonias hybrida
Chlidonias leucopterus
Chlidonias niger
Chloephaga picta
Chloris chloris
Chroicocephalus genei
Chroicocephalus philadelphia
Chroicocephalus ridibundus
Chrysolophus amherstiae
Chrysolophus pictus
Ciconia ciconia
Ciconia nigra
Cinclus cinclus
Circaetus gallicus
Circus aeruginosus
Circus cyaneus
Circus macrourus
Circus pygargus
Cisticola juncidis
Clamator glandarius
Clanga clanga
Clanga pomarina
Clangula hyemalis
Coccothraustes coccothraustes
Coccyzus erythropthalmus
Colinus virginianus
Columba oenas
Columba palumbus
Coracias garrulus
Corvus albus
Corvus corax
Corvus cornix
Corvus corone
Corvus frugilegus
Coscoroba coscoroba
Coturnix coturnix
Coturnix japonica
Crex crex
Cuculus canorus
Cyanistes caeruleus
Cygnus atratus
Cygnus columbianus
Cygnus cygnus
Cygnus melancoryphus
Cygnus olor
Delichon urbicum
Dendrocopos leucotos
Dendrocopos major
Dendrocopos syriacus
Dendrocoptes medius
Dendrocygna autumnalis
Dendrocygna bicolor
Dendrocygna javanica
Dendrocygna viduata
Dryobates minor
Dryocopus martius
Egretta garzetta
Egretta gularis
Elanus caeruleus
Emberiza aureola
Emberiza bruniceps
Emberiza buchanani
Emberiza caesia
Emberiza calandra
Emberiza cia
Emberiza cirlus
Emberiza citrinella
Emberiza hortulana
Emberiza leucocephalos
Emberiza melanocephala
Emberiza pusilla
Emberiza rustica
Emberiza schoeniclus
Emberiza spodocephala
Eophona personata
Eremophila alpestris
Erithacus rubecula
Eudromias morinellus
Euplectes afer
Falco columbarius
Falco naumanni
Falco peregrinus
Falco rusticolus
Falco sparverius
Falco subbuteo
Falco tinnunculus
Falco vespertinus
Ficedula albicilla
Ficedula albicollis
Ficedula hypoleuca
Ficedula parva
Fratercula arctica
Fringilla coelebs
Fringilla montifringilla
Fulica atra
Fulmarus glacialis
Galerida cristata
Gallinago gallinago
Gallinago media
Gallinula chloropus
Garrulus glandarius
Gavia adamsii
Gavia arctica
Gavia immer
Gavia stellata
Gelochelidon nilotica
Geokichla sibirica
Geronticus eremita
Glareola maldivarum
Glareola pratincola
Glaucidium passerinum
Grus grus
Grus japonensis
Gyps fulvus
Haematopus ostralegus
Haliaeetus albicilla
Hieraaetus pennatus
Himantopus himantopus
Hippolais icterina
Hippolais polyglotta
Hirundo rustica
Histrionicus histrionicus
Hydrobates pelagicus
Hydrocoloeus minutus
Hydroprogne caspia
Hyla arborea
Ichthyaetus audouinii
Ichthyaetus melanocephalus
Iduna caligata
Iduna opaca
Iduna pallida
Iduna rama
Jynx torquilla
Lagopus muta
Lanius collurio
Lanius cristatus
Lanius excubitor
Lanius isabellinus
Lanius minor
Lanius nubicus
Lanius phoenicuroides
Lanius senator
Larosterna inca
Larus argentatus
Larus cachinnans
Larus canus
Larus delawarensis
Larus fuscus
Larus glaucoides
Larus hyperboreus
Larus marinus
Larus michahellis
Leiothrix lutea
Leucophaeus atricilla
Leucophaeus pipixcan
Limnodromus griseus
Limnodromus scolopaceus
Limosa lapponica
Limosa limosa
Linaria cannabina
Linaria flavirostris
Locustella fluviatilis
Locustella lanceolata
Locustella luscinioides
Locustella naevia
Lophodytes cucullatus
Lophonetta specularioides
Lophophanes cristatus
Loxia curvirostra
Loxia leucoptera
Loxia pytyopsittacus
Lullula arborea
Luscinia luscinia
Luscinia megarhynchos
Luscinia svecica
Lymnocryptes minimus
Lyrurus tetrix
Mareca americana
Mareca falcata
Mareca penelope
Mareca sibilatrix
Mareca strepera
Melanitta americana
Melanitta fusca
Melanitta nigra
Melanitta perspicillata
Melanocorypha calandra
Meleagris gallopavo
Melopsittacus undulatus
Melospiza melodia
Mergellus albellus
Mergus merganser
Mergus serrator
Merops apiaster
Merops persicus
Milvus migrans
Milvus milvus
Mimus polyglottos
Molothrus ater
Monticola saxatilis
Montifringilla nivalis
Morus bassanus
Motacilla alba
Motacilla cinerea
Motacilla citreola
Motacilla flava
Motacilla tschutschensis
Muscicapa striata
Myiopsitta monachus
Netta rufina
Nucifraga caryocatactes
Numenius arquata
Numenius minutus
Numenius phaeopus
Nycticorax nycticorax
Nymphicus hollandicus
Oenanthe deserti
Oenanthe hispanica
Oenanthe isabellina
Oenanthe leucopyga
Oenanthe melanoleuca
Oenanthe oenanthe
Oenanthe pleschanka
Onychoprion anaethetus
Onychoprion fuscatus
Oriolus oriolus
Otus scops
Oxyura jamaicensis
Pandion haliaetus
Panurus biarmicus
Parabuteo unicinctus
Parus major
Passer domesticus
Passer italiae
Passer montanus
Pastor roseus
Pavo cristatus
Pelophylax esculentus
Perdix perdix
Periparus ater
Pernis apivorus
Petronia petronia
Phalacrocorax carbo
Phalaropus fulicarius
Phalaropus lobatus
Phalaropus tricolor
Phasianus colchicus
Pheucticus ludovicianus
Phoeniconaias minor
Phoenicopterus chilensis
Phoenicopterus roseus
Phoenicopterus ruber
Phoenicurus ochruros
Phoenicurus phoenicurus
Phylloscopus bonelli
Phylloscopus borealis
Phylloscopus collybita
Phylloscopus coronatus
Phylloscopus fuscatus
Phylloscopus humei
Phylloscopus ibericus
Phylloscopus inornatus
Phylloscopus nitidus
Phylloscopus orientalis
Phylloscopus plumbeitarsus
Phylloscopus proregulus
Phylloscopus schwarzi
Phylloscopus sibilatrix
Phylloscopus trochiloides
Phylloscopus trochilus
Pica pica
Picoides tridactylus
Picus canus
Picus viridis
Pinicola enucleator
Platalea leucorodia
Platycercus adscitus
Platycercus elegans
Platycercus eximius
Plectrophenax nivalis
Plegadis falcinellus
Pluvialis apricaria
Pluvialis dominica
Pluvialis fulva
Pluvialis squatarola
Podiceps auritus
Podiceps cristatus
Podiceps grisegena
Podiceps nigricollis
Podilymbus podiceps
Poecile montanus
Poecile palustris
Poicephalus senegalus
Porphyrio poliocephalus
Porphyrio porphyrio
Porzana porzana
Prunella collaris
Prunella modularis
Prunella montanella
Psephotus haematonotus
Psittacula eupatria
Psittacula krameri
Psittacus erithacus
Ptyonoprogne rupestris
Puffinus puffinus
Pyrrhocorax graculus
Pyrrhula pyrrhula
Rallus aquaticus
Rana temporaria
Recurvirostra avosetta
Regulus ignicapilla
Regulus regulus
Remiz pendulinus
Rhea americana
Rhodostethia rosea
Riparia riparia
Rissa tridactyla
Saxicola maurus
Saxicola rubetra
Saxicola rubicola
Saxicola stejnegeri
Scolopax rusticola
Serinus serinus
Setophaga americana
Sitta canadensis
Sitta europaea
Somateria mollissima
Somateria spectabilis
Spatula clypeata
Spatula cyanoptera
Spatula discors
Spatula querquedula
Spinus spinus
Stercorarius longicaudus
Stercorarius parasiticus
Stercorarius pomarinus
Stercorarius skua
Sterna dougallii
Sterna hirundo
Sterna paradisaea
Sternula albifrons
Streptopelia decaocto
Streptopelia orientalis
Streptopelia roseogrisea
Streptopelia turtur
Strix aluco
Strix uralensis
Sturnus vulgaris
Sula leucogaster
Surnia ulula
Sylvia atricapilla
Sylvia borin
Syrrhaptes paradoxus
Tachybaptus ruficollis
Tadorna cana
Tadorna ferruginea
Tadorna tadorna
Tadorna tadornoides
Tadorna variegata
Taeniopygia guttata
Tarsiger cyanurus
Tetrao urogallus
Tetrastes bonasia
Tetrax tetrax
Thalassarche melanophris
Thalasseus bengalensis
Thalasseus elegans
Thalasseus sandvicensis
Tichodroma muraria
Tringa erythropus
Tringa flavipes
Tringa glareola
Tringa nebularia
Tringa ochropus
Tringa stagnatilis
Tringa totanus
Troglodytes troglodytes
Turdus atrogularis
Turdus eunomus
Turdus iliacus
Turdus merula
Turdus migratorius
Turdus obscurus
Turdus pallidus
Turdus philomelos
Turdus pilaris
Turdus torquatus
Turdus viscivorus
Tyto alba
Upupa epops
Uria aalge
Uria lomvia
Vanellus leucurus
Vanellus miles
Vanellus vanellus
Vireo flavifrons
Vireo olivaceus
Xema sabini
Xenus cinereus
Zenaida macroura
Zonotrichia albicollis
Zoothera aurea
